magic=50534152 pos=258 size=512 rec_size=64
  102 dt=265      RAW_KEY_AGREEMENT    key=40000000 alg=09020000 op=0 i@2f00ffc9:65 o@2f0101fc:32 | st=0
  103 dt=5533     DESTROY_KEY          key=40000000 alg=00000000 op=0   | st=0
  104 dt=143      HASH_COMPUTE         key=00000000 alg=0200000a op=0  o@2f01b820:48 | st=0
  105 dt=240      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b6a8:4 | st=0
  106 dt=162      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  107 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b6ac:65  | st=0
  108 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b890:48 | st=0
  109 dt=266      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b6a8:4 | st=0
  110 dt=263      KD_SETUP             key=00000000 alg=0800040a op=0  o@2f01b88c:4 | st=0
  111 dt=183      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b890:48  | st=0
  112 dt=193      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f0101fc:32  | st=0
  113 dt=258      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01014c:48 | st=0
  114 dt=145      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b88c:4 | st=0
  115 dt=321      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b8f4:4 o@2f01b8f4:4 | st=0
  116 dt=239      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b8f4:4 o@2f01b938:48 | st=0
  117 dt=337      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b740:4 | st=0
  118 dt=180      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  119 dt=144      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b744:70  | st=0
  120 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01017c:48 | st=0
  121 dt=236      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b740:4 | st=0
  122 dt=295      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b740:4 | st=0
  123 dt=162      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  124 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b744:70  | st=0
  125 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f0101ac:48 | st=0
  126 dt=236      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b740:4 | st=0
  127 dt=296      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b770:4 | st=0
  128 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01017c:48  | st=0
  129 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b774:13  | st=0
  130 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b968:32 | st=0
  131 dt=265      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b770:4 | st=0
  132 dt=295      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b770:4 | st=0
  133 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01017c:48  | st=0
  134 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b774:12  | st=0
  135 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b9a8:12 | st=0
  136 dt=233      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b770:4 | st=0
  137 dt=294      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b770:4 | st=0
  138 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f0101ac:48  | st=0
  139 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b774:13  | st=0
  140 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b988:32 | st=0
  141 dt=235      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b770:4 | st=0
  142 dt=294      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b770:4 | st=0
  143 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f0101ac:48  | st=0
  144 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b774:12  | st=0
  145 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b9b8:12 | st=0
  146 dt=233      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b770:4 | st=0
  147 dt=300      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b8d4:28 i@2f01b968:32 o@2f010234:4 | st=0
  148 dt=284      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b8d4:28 i@2f01b988:32 o@2f010238:4 | st=0
  149 dt=287      AEAD_DECRYPT         key=40000001 alg=05500200 op=0 i@2f00eb31:45 i@2f01b980:5 o@2f00eb31:45 | st=0
  150 dt=372      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9dc:4  | st=0
  151 dt=116      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00eb35:24  | st=0
  152 dt=256      AEAD_DECRYPT         key=40000001 alg=05500200 op=0 i@2f00eb31:455 i@2f01b998:5 o@2f00eb31:455 | st=0
  153 dt=462      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b8a4:28 i@2f010338:65 o@2f01b8a0:4 | st=0
  154 dt=302      DESTROY_KEY          key=40000002 alg=00000000 op=0   | st=0
  155 dt=252      HASH_COMPUTE         key=00000000 alg=02000009 op=0 i@2f01046c:336 o@2f01b8d8:48 | st=0
  156 dt=284      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b810:28 i@2f00918c:65 o@2f01b808:4 | st=0
  157 dt=287      VERIFY_HASH          key=40000002 alg=06000600 op=0 i@2f01b8d8:32 i@2f01b830:64  | st=0
  158 dt=807      DESTROY_KEY          key=40000002 alg=00000000 op=0   | st=0
  159 dt=269      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9dc:4  | st=0
  160 dt=130      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00eb35:434  | st=0
  161 dt=238      AEAD_DECRYPT         key=40000001 alg=05500200 op=0 i@2f00eb31:96 i@2f01b858:5 o@2f00eb31:96 | st=0
  162 dt=367      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b89c:4 o@2f01b89c:4 | st=0
  163 dt=280      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b89c:4 o@2f01b8dc:48 | st=0
  164 dt=326      HASH_COMPUTE         key=00000000 alg=02000009 op=0 i@2f01b93c:146 o@2f01b90c:48 | st=0
  165 dt=240      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b828:28 i@2f010338:65 o@2f01b820:4 | st=0
  166 dt=236      VERIFY_HASH          key=40000002 alg=06000600 op=0 i@2f01b90c:32 i@2f01b848:64  | st=0
  167 dt=784      DESTROY_KEY          key=40000002 alg=00000000 op=0   | st=0
  168 dt=142      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b89c:4  | st=0
  169 dt=135      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00eb35:75  | st=0
  170 dt=214      AEAD_DECRYPT         key=40000001 alg=05500200 op=0 i@2f00eb31:69 i@2f01b978:5 o@2f00eb31:69 | st=0
  171 dt=313      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b95c:4 o@2f01b95c:4 | st=0
  172 dt=280      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b95c:4 o@2f01b988:48 | st=0
